group_id,group_name,members_id,members_name
1,Security & Safety,"1,3,8,9,4,5,10,149,483,484,485","explosive detection,checked baggage screening,passenger checkpoint screening,cargo screening,homeland security,airport security,TSA approved screening equipment,Cybersecurity,Security Systems installation,Security systems service activities,Security"
2,Computed,"2","computed tomography"
6,Technology,"6,37,7,25,42,53,292,14,400,409,19,20,23,43,45,339,47,48,51,54,73,144,243,321,55,408,59,277,62,65,71,340,72,74,274,77,333,94,99,110,128,113,114,115,127,129,131,133,141,146,147,148,154,156,159,168,170,172,177,179,212,224,225,228,466,238,285,244,245,248,249,250,251,253,257,262,314,269,273,281,284,286,303,309,310,315,311,313,322,328,329,349,351,352,355,353,390,395,407,417,418,432,436,437,440,441,442,448,453,455,454,462,473,476,487,488,489,490,491,496,506,508","advanced technology,Technology,software engineering,Software Development,Software Developmen,Application development,app development,digital,Digital media,Digital Learning,copywriting,positioning,Packaging Design Software,Digital Skills,Creativity,Creative,Social Mobility,Diversity,Diverse,IT Consulting,IT Services,IT support,IT solutions,Customised IT solutions,Computer programming,Computer programming activities,DigitalTransformation,Digital Transformation,TechnicalSEO,Training facilities hire,production facilities,Production,editing suites,Computer consultancy activities,Computer consultancy,Recruitment,Talent Acquisition,Air-conditioning installation,technology troubleshooting,CGI images,Computer Generated Imagery,EdTech,Educational Technology,attendance monitoring,Virtual reality video,Virtual reality production,Virtual reality training software,Information Technology,Working capital loans,Computer hardware supplies,Business Continuity,Cloud Services,Data Converters,Exhibitions,Networking,Digital & Social Marketing,Executive Positioning,Citizenship & Corporate Social Responsibility,Diversity and inclusion consulting,Data-driven insights,Qualitative Research,Blogging,Blog Writing,Social Media Growth,Digital Growth,Gym facilities,Fitness facilities,Computer Games,Publishing of computer games,ITT (Invitation to tender),Technical Drawings,Construction Drawings,Measured Site Surveys,2d and 3d Architectural Visualisation,Data Storage & Data Management Solutions,Full stack development,Full Stack Data Science,travel writing,Outsourced data management,Data Mesh,Architectural activities,Wellness and Fitness Services,Self storage,Storage Units,Data Analytics,Financial Analytics,HR Analytics,Data Engineering,IT solutions for non-profit or public services,Making Tax Digital,Audit & Assurance,Identity and Access Management,Entitlement Management and Authorisation,Software License Management,Software Licensing,Software Monetization,Creative use of event technologies,Technical Management,Hardware design iteration,Small Business Software,Enterprise Software,Portrait Photography,cloud-native,digital banking,In situ tools,Research and experimental development on biotechnology,Early stage technology investment,Biotechnology,MedTech,HealthTech,FemTech,Charity,TEMP RECRUITMENT,fitness,Commercial Locksmiths,Auto Locksmiths,Safe Engineers,Domestic Locksmiths,Master Key Suites,Letting and operating of conference and exhibition centres,Editing & Grading,Digital/Online Packages"
9,Brand,"11,18,80,356","brand,branding,Brand Design,Brand Identity"
10,Design,"12,30,83,85,479,81,241,264,254","design,web design,Graphic Design,Creative Design,design and creative,Design for Print,UX/UI Design,User experience design,Design Detail Development"
11,Retail & Shopping,"13,58,200,201,223,22,289,32,61,78,378,137,138,162,193,197,206,230,290,414,478,376,379,461,511","marketing,Internet Marketing,digital marketing,online marketing,Social Media Marketing,B2B,B2B Marketing,search engine marketing,MarketingAutomation,Sales,Wine Sales,Inbound Marketing,Email Marketing,Online Stores,Retail sale of clothing in specialised stores,Retail sale in commercial art galleries,Residential sales,LinkedIn Marketing,corporate communications,Communications,marketing communications,Wine Branding,Wine Marketing,merchandise,Luxury Boutique Hotel"
13,Strategy,"15,213","strategy,Design Strategy"
14,Insight,"16","insight"
15,Research,"17,288,211","research,Research and analysis,UX research"
18,Saas,"21","SaaS"
21,Autocad,"24","AutoCAD"
22,Ipos,"26,27","IPO's on London Stock Exchange,IPO's on AIM"
23,Preipo,"28","Pre-IPO fundraising for IPO costs"
24,Internet,"29","internet"
25,Development,"31,52,239,260,267,280,196,334","web development,Website development,WEB and Mobile Development,Front-end development,Wordpress development,Mobile Development,Professional Development,Career Development"
27,Social,"33,204","social media,instagram"
28,Effects,"34,393","Visual Effects,special effects"
29,Creative,"35","Creative Direction"
30,Innovation,"36","Innovation"
31,Immersive,"38","Immersive Experiences"
32,Education,"39,46,66,214,411,116,117,118,158,188,218,406,410","Machine Learning,Training and Development,Training,Learning & Development,Management Training,learning management,higher education,education,Learning,Educational Productions,Lean Six Sigma Training,Simulation and reinforcement learning,Micro Learning"
33,Transportation,"40,108,75,76,171,219,312,330","Animation,3D animation,Truck Transportation,Freight transport by road,Business-to-Business Communications,Business Improvement,Business Analysis,Business Management"
34,Ai,"41,450","Ai,Artificial Intelligence"
36,Coding,"44","Coding"
41,Apprenticeships,"49","Apprenticeships"
42,Talent,"50,176","Talent,Talent development"
45,Seo,"56,266","SEO,Search engine optimisation"
46,Ecommerce,"57,134","Ecommerce,E-Commerce"
48,General,"60,136,151,152,153,199,332,343,347,423,477","CRM,PPC,ADC,DAC,PLL,ads,My on FD,PHP,Vue,AWS,PR"
51,Studio,"63","TV studio hire"
52,Hire,"64,68,69,497,498,499,500,501,502,504,305","Space hire,event space,conference space,Conference venue hire,Exhibition venue hire,Wedding venue hire,Dinner venue hire,Awards ceremony venue hire,Corporate event venue hire,Fashion show venue hire,Van hire"
54,Film,"67","film location"
55,Meeting,"70,359","meeting room,Meeting Rooms"
63,Hr,"79,413","HR,Human Resources"
65,Services,"82,87,88,89,91,95,98,100,112,335,143,259,180,358,494,513","Print Services,Gas services,Heating services,Boiler services,Renewable energy services,Photovoltaic (PV) services,lost luggage assistance,personal rescue service,consultancy,Consulting Services,Managed services,Managed support services,Career readiness support,Serviced Offices,Creative agency services,Excellent Concierge Service"
